# Fractal dim =  1.000 
#           N     G/NpiR0^2            GC    Okuzumi+09     Paszun+09 
 1.692220e+06  8.387545e-01  1.000000e+00  4.924956e-01  6.775728e-01 
 1.788566e+06  8.387544e-01  1.000000e+00  4.915088e-01  6.771181e-01 
 1.890397e+06  8.387544e-01  1.000000e+00  4.905303e-01  6.766638e-01 
 1.998026e+06  8.387543e-01  1.000000e+00  4.895600e-01  6.762098e-01 
 2.111783e+06  8.387542e-01  1.000000e+00  4.885979e-01  6.757561e-01 
 2.232016e+06  8.387542e-01  1.000000e+00  4.876438e-01  6.753027e-01 
 2.359095e+06  8.387541e-01  1.000000e+00  4.866978e-01  6.748496e-01 
 2.493409e+06  8.387540e-01  1.000000e+00  4.857596e-01  6.743968e-01 
 2.635371e+06  8.387540e-01  1.000000e+00  4.848293e-01  6.739443e-01 
 2.785414e+06  8.387539e-01  1.000000e+00  4.839068e-01  6.734921e-01 
 2.944000e+06  8.387539e-01  1.000000e+00  4.829919e-01  6.730402e-01 
 3.111616e+06  8.387538e-01  1.000000e+00  4.820847e-01  6.725886e-01 
 3.288774e+06  8.387538e-01  1.000000e+00  4.811850e-01  6.721374e-01 
 3.476019e+06  8.387537e-01  1.000000e+00  4.802928e-01  6.716864e-01 
 3.673925e+06  8.387537e-01  1.000000e+00  4.794079e-01  6.712357e-01 
 3.883098e+06  8.387536e-01  1.000000e+00  4.785304e-01  6.707853e-01 
 4.104181e+06  8.387536e-01  1.000000e+00  4.776601e-01  6.703353e-01 
 4.337850e+06  8.387535e-01  1.000000e+00  4.767970e-01  6.698855e-01 
 4.584824e+06  8.387535e-01  1.000000e+00  4.759410e-01  6.694360e-01 
 4.845859e+06  8.387535e-01  1.000000e+00  4.750920e-01  6.689869e-01 
 5.121755e+06  8.387534e-01  1.000000e+00  4.742500e-01  6.685380e-01 
 5.413360e+06  8.387534e-01  1.000000e+00  4.734149e-01  6.680894e-01 
 5.721568e+06  8.387534e-01  1.000000e+00  4.725867e-01  6.676412e-01 
 6.047322e+06  8.387533e-01  1.000000e+00  4.717652e-01  6.671932e-01 
 6.391624e+06  8.387533e-01  1.000000e+00  4.709505e-01  6.667456e-01 
 6.755528e+06  8.387533e-01  1.000000e+00  4.701423e-01  6.662982e-01 
 7.140151e+06  8.387532e-01  1.000000e+00  4.693408e-01  6.658511e-01 
 7.546673e+06  8.387532e-01  1.000000e+00  4.685458e-01  6.654044e-01 
 7.976339e+06  8.387532e-01  1.000000e+00  4.677572e-01  6.649579e-01 
 8.430468e+06  8.387531e-01  1.000000e+00  4.669751e-01  6.645118e-01 
 8.910453e+06  8.387531e-01  1.000000e+00  4.661993e-01  6.640659e-01 
 9.417766e+06  8.387531e-01  1.000000e+00  4.654297e-01  6.636203e-01 
 9.953962e+06  8.387531e-01  1.000000e+00  4.646664e-01  6.631751e-01 
 1.052069e+07  8.387530e-01  1.000000e+00  4.639093e-01  6.627301e-01 
 1.111968e+07  8.387530e-01  1.000000e+00  4.631582e-01  6.622854e-01 
 1.175277e+07  8.387530e-01  1.000000e+00  4.624132e-01  6.618411e-01 
 1.242191e+07  8.387530e-01  1.000000e+00  4.616742e-01  6.613970e-01 
 1.312915e+07  8.387529e-01  1.000000e+00  4.609411e-01  6.609532e-01 
 1.387665e+07  8.387529e-01  1.000000e+00  4.602138e-01  6.605098e-01 
 1.466671e+07  8.387529e-01  1.000000e+00  4.594925e-01  6.600666e-01 
 1.550175e+07  8.387529e-01  1.000000e+00  4.587768e-01  6.596237e-01 
 1.638434e+07  8.387528e-01  1.000000e+00  4.580669e-01  6.591811e-01 
 1.731717e+07  8.387528e-01  1.000000e+00  4.573627e-01  6.587388e-01 
 1.830312e+07  8.387528e-01  1.000000e+00  4.566640e-01  6.582969e-01 
 1.934520e+07  8.387528e-01  1.000000e+00  4.559710e-01  6.578552e-01 
 2.044661e+07  8.387528e-01  1.000000e+00  4.552834e-01  6.574138e-01 
 2.161073e+07  8.387527e-01  1.000000e+00  4.546013e-01  6.569727e-01 
 2.284112e+07  8.387527e-01  1.000000e+00  4.539246e-01  6.565319e-01 
 2.414157e+07  8.387527e-01  1.000000e+00  4.532532e-01  6.560914e-01 
 2.551606e+07  8.387527e-01  1.000000e+00  4.525872e-01  6.556512e-01 
 2.696881e+07  8.387527e-01  1.000000e+00  4.519264e-01  6.552112e-01 
 2.850426e+07  8.387526e-01  1.000000e+00  4.512708e-01  6.547716e-01 
 3.012714e+07  8.387526e-01  1.000000e+00  4.506204e-01  6.543323e-01 
 3.184242e+07  8.387526e-01  1.000000e+00  4.499751e-01  6.538933e-01 
 3.365535e+07  8.387526e-01  1.000000e+00  4.493349e-01  6.534545e-01 
 3.557150e+07  8.387526e-01  1.000000e+00  4.486997e-01  6.530161e-01 
 3.759675e+07  8.387525e-01  1.000000e+00  4.480695e-01  6.525779e-01 
 3.973730e+07  8.387525e-01  1.000000e+00  4.474442e-01  6.521401e-01 
 4.199973e+07  8.387525e-01  1.000000e+00  4.468238e-01  6.517025e-01 
 4.439097e+07  8.387525e-01  1.000000e+00  4.462083e-01  6.512653e-01 
 4.691835e+07  8.387525e-01  1.000000e+00  4.455975e-01  6.508283e-01 
 4.958962e+07  8.387524e-01  1.000000e+00  4.449915e-01  6.503916e-01 
 5.241298e+07  8.387524e-01  1.000000e+00  4.443903e-01  6.499552e-01 
 5.539709e+07  8.387524e-01  1.000000e+00  4.437937e-01  6.495191e-01 
 5.855110e+07  8.387524e-01  1.000000e+00  4.432017e-01  6.490833e-01 
 6.188468e+07  8.387524e-01  1.000000e+00  4.426143e-01  6.486478e-01 
 6.540806e+07  8.387524e-01  1.000000e+00  4.420315e-01  6.482126e-01 
